resource_id,title,fields,granularity,months,years,start_year,end_year,year_span,duration_type,region,category
09d6c73e-0aae-460f-8e90-92982c056518,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during October 1981,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['october'],[1981],1981,1981,1,specific_month,sub-basin,rainfall
f4947627-2cd5-4dd7-83fe-e55336764caa,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during December 1981,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['december'],[1981],1981,1981,1,specific_month,,rainfall
f91ee9e3-2347-46ab-893a-a376c79a574d,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during November 1981,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['november'],[1981],1981,1981,1,specific_month,sub-basin,rainfall
44aa141f-a72b-49c5-9f36-d8a50ba906d9,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[1982],1982,1982,1,specific_month,,rainfall
618fa01b-3392-42e7-bd3e-1fddd8361e69,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during December 1981,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['december'],[1981],1981,1981,1,specific_month,sub-basin,rainfall
8c7584dd-d9d0-41ce-b7cb-0e296789fbe1,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
5d36721c-f3e6-4b0f-a514-3e54a99e9c9b,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[1982],1982,1982,1,specific_month,,rainfall
bfaa613c-e8f4-4dd8-85cc-743c1cd37c04,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
bd1cda78-a2d3-4c2e-b0e9-9bf62e9d25db,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during March 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['march'],[1982],1982,1982,1,specific_month,,rainfall
b4d0a191-3b09-4bc5-8256-8c30a5b817b0,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during March 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['march'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
b290a74e-4511-499b-8124-941248fcbbe6,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during April 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['april'],[1982],1982,1982,1,specific_month,,rainfall
f64d97ac-34f3-413e-ad4e-666441b78643,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during May 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['may'],[1982],1982,1982,1,specific_month,,rainfall
08d8d9a0-1d35-4cc6-af31-3812f197c043,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during April 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['april'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
0a4f98c1-d184-48f1-9dff-28e6bbc04def,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during June 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['june'],[1982],1982,1982,1,specific_month,,rainfall
adb9bb43-7e84-4554-9d4d-31f5f7196f44,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during May 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['may'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
d2962a33-7ba7-4270-9096-3eab0d216564,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during July 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['july'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
